file_name,rms,chroma_stft,spec_centroid,spec_bandwidth,rolloff,0_crossing_rate,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,gender
common_voice_vi_21824030.wav,0.062318593,0.54277414,1802.3697722224524,2156.2376030260543,3216.1563765182186,0.04649874008940621,-342.82516,144.74,-12.216655,-7.520318,8.55476,14.013296,-3.9848416,-2.653688,1.5204821,-10.232304,-3.1149971,-7.2542095,-1.481771,-1.8322694,-11.609197,-3.724925,-7.2856655,-4.003551,-2.9829206,-8.553719,male
common_voice_vi_21824031.wav,0.14300957,0.54506844,1457.4169842455474,1787.9675387988477,2670.6099076704545,0.03479836203835227,-223.97421,207.08095,-25.784807,0.55760956,1.4894482,18.169088,-4.1380033,-6.1366973,6.150194,-12.186898,0.27483037,-8.947285,-0.62271065,-1.4065344,-14.936173,-2.1862607,-10.66881,-0.520647,-2.2985868,-11.188898,male
common_voice_vi_21824032.wav,0.051887996,0.5506063,1587.0763692652226,2098.246059948689,2698.152043269231,0.03694692758413461,-381.35263,165.29434,-8.334754,-10.042099,4.963537,19.154055,-1.4790821,-6.5358343,0.6415846,-9.092281,-2.424057,-7.780914,-0.9251609,-0.6831631,-11.20663,-3.6150386,-6.79206,-2.147076,-3.9469986,-10.07126,male
common_voice_vi_21824033.wav,0.078814045,0.541772,1466.3430285836225,1965.838100619807,2743.344155844156,0.03243709415584416,-304.29376,180.08313,-7.0031457,0.53139025,12.241833,24.189163,-0.19709742,-5.195608,3.2891932,-9.9033785,-1.6811706,-5.439131,0.052297696,-3.2178292,-11.664877,-0.41656703,-7.638383,-2.1837444,-2.2128882,-9.230699,male
common_voice_vi_21824034.wav,0.041442476,0.54765964,1706.9401861930564,2233.8968734259665,3004.570798755187,0.04150188018672199,-405.49203,151.43349,-1.7416682,-11.601354,6.791656,20.528429,-0.07008286,-5.719144,-1.3704473,-10.034502,-3.2601943,-6.872738,-1.162172,-0.5369086,-10.252456,-4.7126656,-6.385332,-2.4492357,-3.7906737,-8.568843,male
common_voice_vi_21824045.wav,0.06614653,0.5337519,1617.7252589007353,1909.8014919340606,2855.1950636942674,0.04171228105095542,-326.64975,165.60942,-9.300694,-8.941917,11.130454,14.438823,-1.5178772,-3.280191,-0.45312753,-6.7231736,-1.0170575,-4.878699,0.79751694,-1.158864,-10.386044,-2.3058214,-6.3194366,-4.6309547,-3.5121744,-8.521913,male
common_voice_vi_21824046.wav,0.0905325,0.49275178,1418.9249807114543,1786.8007468411136,2433.6359797297296,0.0349609375,-313.83292,187.0741,-6.0411224,-7.6914973,10.599671,19.19981,-6.990233,-2.995412,4.7379203,-10.293554,-0.29463065,-7.848922,0.3375324,0.5974785,-12.680499,-0.7621118,-8.235885,-5.1520414,-3.049717,-11.796878,male
common_voice_vi_21824047.wav,0.083793014,0.5623816,1430.6901164782216,1863.3049003744663,2500.3959760273974,0.03341649721746575,-331.78745,168.25325,-3.9652405,-10.982817,10.601274,18.528788,0.858827,-2.2577045,1.0648271,-7.278491,-2.3813567,-5.395261,1.3273011,0.40947363,-8.640078,-1.5758677,-6.045354,-3.1417758,-2.533199,-9.088798,male
common_voice_vi_21824048.wav,0.1431989,0.5284195,1522.7448785007439,1817.258054390946,2734.197443181818,0.03871987082741477,-247.72572,191.72113,-21.712358,-6.1500306,5.3753824,15.752105,-2.6393735,-3.474819,1.8422418,-11.22544,0.9766169,-6.3965535,1.1365551,-1.4370294,-13.14003,-0.059588864,-10.326295,-3.747669,-1.7670459,-11.837696,male
common_voice_vi_21824049.wav,0.116624564,0.52308947,1410.682921743326,1851.6200874407364,2578.404683770883,0.03047154683770883,-285.10773,189.77437,-17.499577,2.0694926,12.347844,21.724579,-0.9826847,-3.5359356,3.3543103,-10.795335,0.47980398,-7.953403,-1.3286424,-0.6705567,-11.523994,0.28965536,-8.356602,-2.2024372,-0.877624,-10.173631,male
common_voice_vi_21833212.wav,0.064349085,0.5590543,2482.346640967233,2729.840229867246,4954.9030172413795,0.0613977191091954,-338.9686,133.50278,-6.103725,29.597546,1.1891402,13.454937,4.2167315,-5.875389,5.160395,-2.0470378,1.9677827,-5.2626452,-4.6675415,2.016718,-1.317159,-4.5650897,-6.03248,-3.2834458,0.45009246,-4.2056785,male
common_voice_vi_21833213.wav,0.052401796,0.575151,2463.976069463885,2832.8880643465895,5313.1065605590065,0.053679093070652176,-375.69254,120.43961,-6.9667583,23.840624,10.751814,16.650927,7.225631,-4.872723,8.02742,1.7149258,-1.8358822,-3.83445,-4.044984,-0.31339663,-0.6245257,-2.173806,-4.601638,-4.6887193,-1.8577551,-3.7828512,male
common_voice_vi_21833214.wav,0.075324155,0.51787555,2295.6540100276306,2542.893240462554,4580.441497093023,0.05580695100532946,-334.33627,136.54218,6.500423,22.43231,4.540415,11.410035,3.4617035,-5.76962,2.0337114,-4.5107207,-3.2945886,-6.531226,-6.174711,-0.97485614,-3.0735004,-4.5062304,-5.541601,-5.1300693,1.3432915,-3.072991,male
common_voice_vi_21833241.wav,0.029638365,0.54139495,2162.821245314154,2492.366214242923,4503.705533596838,0.04921797801383399,-399.6201,108.302734,-12.285584,20.887648,7.4152145,17.46326,5.5690045,-3.517467,7.550574,-0.57506305,-0.2710046,-3.3719978,-2.300251,0.45474738,-0.05925437,-1.6782606,-3.9875648,-2.1695082,-1.761337,-2.7733788,male
common_voice_vi_21833242.wav,0.045066785,0.55437475,2647.0399052762987,2847.9129827554934,5313.342747813411,0.06640909712099126,-374.57898,124.49172,-11.488102,23.084774,-0.72849745,10.387389,5.4507504,0.93314373,5.649988,-6.1605206,-0.014054835,-3.9708445,-3.4668689,1.4493599,-0.38757226,-4.0661855,-5.359024,-1.4148813,-0.7272196,-5.3922024,male
